time [h]	Qdot1 [W]
455	21902.4
456	20415.0
457	19191.1
458	17927.5
459	17115.9
460	16463.9
461	16069.6
462	15598.0
463	15295.8
464	15302.9
465	11922.4
466	8482.7
467	8681.5
468	10546.7
469	10117.7
470	10227.5
471	11071.1
472	11421.4
473	13580.2
474	14285.7
475	14243.6
476	14177.0
477	13993.2
478	13739.9
479	13773.9
480	13682.5
481	13598.9
482	13642.0
483	13731.1
484	13581.4
485	13551.7
486	13642.1
487	13399.8
488	13063.9
489	12493.8
490	9310.0
491	7488.3
492	6887.0
493	7512.9
494	9260.5
495	9490.4
496	10323.6
497	12969.1
498	13676.6
499	13852.6
500	13935.6
501	14311.3
502	14288.4
503	14259.0
504	13833.4
505	13596.8
506	13399.8
507	13223.9
508	21934.7
509	134867.0
510	95487.8
511	75286.6
512	64949.3
513	48935.0
514	40669.9
515	35938.5
516	41218.6
517	35328.1
518	25352.5
519	23101.2
520	25023.3
521	34046.4
522	34849.5
523	29848.4
524	26530.3
525	23436.4
526	20553.0
527	18295.2
528	16421.9
529	15107.7
530	13879.6
531	12780.2
532	13083.5
533	51655.9
534	40763.4
535	37001.2
536	31090.1
537	22890.5
538	18853.1
539	16967.5
540	19550.2
541	16851.0
542	11776.8
543	11007.8
544	12832.0
545	22707.9
546	26310.5
547	22773.0
548	20872.1
549	19130.8
550	17538.8
551	16317.0
552	15336.1
553	14170.3
554	13222.4
555	12752.2
556	13907.5
557	49269.0
558	37659.8
559	32455.6
560	28941.1
561	17801.6
562	13111.2
563	11903.2
564	16169.7
565	17285.9
566	14344.9
567	14132.8
568	14651.0
569	20724.0
570	22425.9
571	19728.5
572	18597.5
573	17153.4
574	16153.3
575	14977.6
576	14025.6
577	13454.5
578	12969.4
579	12568.6
580	13701.3
581	46632.7
582	35775.4
583	31304.5
584	29519.1
585	19285.6
586	16201.0
587	16621.2
588	22773.3
589	24591.9
590	19040.0
591	17782.6
592	18261.8
593	27934.4
594	28946.1
595	23463.5
596	21130.3
597	19161.3
598	17583.7
599	16367.8
600	15362.6
601	14636.9
602	13871.8
603	12481.5
604	11772.5
