time [h]	EFH1 [W]
470	4636.59
471	4893.59
472	5298.22
473	5282.72
474	5174.59
475	4891.46
476	5265.69
477	4829.92
478	4990.60
479	303.26
480	309.36
481	323.39
482	336.84
483	336.72
484	348.59
485	7489.07
486	7581.93
487	6855.17
488	6314.14
489	5346.88
490	4990.77
491	4651.75
492	3830.22
493	3277.91
494	4334.35
495	4704.15
496	4845.96
497	4922.43
498	4851.19
499	4703.84
500	5143.08
501	4716.25
502	4901.01
503	307.66
504	323.29
505	329.44
506	345.04
507	364.08
508	380.02
509	7492.67
510	7509.41
511	6775.96
512	6747.56
513	6541.11
514	6223.21
515	5981.05
516	5818.70
517	5764.03
518	5725.86
519	5375.55
520	5326.47
521	5412.95
522	5381.96
523	5227.98
524	5611.40
525	5060.35
526	5129.82
527	311.67
528	323.75
529	334.57
530	350.68
531	364.64
532	387.56
533	7515.51
534	7682.75
535	7352.42
536	7308.73
537	7006.48
538	6499.43
539	6204.61
540	5016.23
541	4512.00
542	4614.93
543	5431.01
544	6721.64
545	7186.57
546	7056.88
547	6877.11
548	7380.92
549	7276.38
550	7477.32
551	515.43
552	717.85
553	1360.26
554	1845.49
555	2412.99
556	2867.86
557	7693.93
558	7693.93
559	7657.49
560	7678.25
561	7662.07
562	7307.59
563	6833.12
564	6811.70
565	6122.42
566	6139.73
567	6559.70
568	7090.13
569	7393.08
570	7481.38
571	7353.06
572	7585.61
573	7424.25
574	7510.50
575	514.07
576	1021.52
577	1614.32
578	1997.58
579	2600.74
580	3168.99
581	7693.93
582	7693.93
583	7693.93
584	7693.93
585	7693.93
586	7287.24
587	6422.32
588	5819.54
589	5631.18
590	5512.02
591	6070.60
592	7009.97
593	7288.66
594	7369.83
595	7381.45
596	7634.62
597	7500.22
598	7628.97
599	714.14
600	1514.12
601	2026.46
602	2461.93
603	3018.21
604	3209.79
605	7693.93
606	7693.93
607	7683.29
608	7693.93
609	7693.93
610	7665.66
611	7631.31
612	7603.53
613	7557.40
614	7483.75
615	7489.30
616	7484.90
617	7395.22
618	7327.33
619	7107.34
620	7378.65
621	6994.76
622	7084.58
623	398.90
624	393.21
625	532.62
626	787.72
627	1118.07
628	1346.44
629	7571.97
630	7693.93
631	7408.15
632	7515.26
633	7417.21
634	7296.31
635	7179.66
636	6876.03
637	6814.22
638	6909.97
639	6999.00
640	7151.41
641	7162.05
642	7140.30
643	6908.20
644	7253.69
645	6952.56
646	7057.93
647	445.60
648	493.79
649	888.00
650	1366.04
651	1696.09
652	2047.94
653	7661.69
654	7693.93
655	7556.09
656	7646.51
657	7629.46
658	7439.64
659	7224.98
660	6902.88
661	6747.98
662	7021.91
663	7071.97
664	6984.22
665	6825.80
666	6651.05
667	6509.66
668	6685.03
669	6041.70
670	6152.15
671	364.37
672	376.41
673	385.12
674	385.35
675	442.17
676	571.90
677	7512.48
678	7686.91
679	7273.64
680	7180.79
681	6962.86
682	6558.44
683	5805.73
684	5620.53
685	5417.83
686	5085.50
687	4650.85
688	4629.56
689	4463.13
690	4039.19
691	3853.19
692	4375.79
693	3670.33
694	3821.47
695	206.04
696	220.88
697	257.54
698	277.32
699	297.01
700	311.25
701	7359.70
702	6841.46
703	5726.25
704	5145.07
705	3994.96
706	2973.14
707	2465.78
708	2499.18
709	2812.86
710	3028.43
711	3242.50
712	3775.12
713	4060.76
714	3926.55
715	3826.15
716	4297.34
717	3403.51
718	3143.07
719	172.90
720	186.74
721	191.95
722	200.42
723	207.64
724	212.22
725	6055.45
726	4933.53
727	3995.50
728	3761.71
729	3571.31
730	2916.45
731	2540.81
732	2816.93
733	2729.08
734	2921.29
735	3073.64
736	3373.71
737	3420.56
738	3150.56
739	3619.00
740	4832.43
741	4643.99
742	4954.47
743	330.16
744	318.95
745	314.03
746	345.92
747	364.23
748	372.61
749	7503.41
750	7512.87
751	6895.33
752	6100.93
753	4867.64
754	4310.85
755	3469.52
756	2904.98
757	2984.18
758	3209.64
759	3893.92
760	4401.80
761	4617.73
762	4616.55
763	4566.27
764	5107.72
765	4648.62
766	4936.30
767	320.01
768	325.67
769	333.04
770	340.23
771	354.83
772	364.82
773	7480.18
774	7302.61
775	6351.43
776	6061.58
777	5603.44
778	5070.83
779	4231.13
780	3853.22
781	3830.44
782	4199.43
783	4364.25
784	4723.82
785	4832.10
786	4626.15
787	4438.40
788	4896.55
789	4236.74
790	4345.12
791	273.16
792	293.95
793	307.91
794	313.81
795	313.21
796	327.96
797	7428.46
798	7215.55
799	6197.89
800	5562.98
801	4573.33
802	4166.44
803	4240.24
804	3665.37
805	3013.39
806	2858.21
807	3217.69
808	4215.42
809	4396.39
810	4466.23
811	4236.75
812	4638.81
813	3990.71
814	4150.19
815	262.63
816	294.65
817	312.39
818	316.70
819	323.17
820	332.22
821	7456.67
822	7359.18
823	6639.84
824	6343.49
825	5777.07
826	4850.40
827	4294.41
828	4236.92
829	3713.44
830	3509.65
831	3409.81
832	4074.45
833	4558.68
834	4756.97
835	4841.45
836	5429.99
837	4966.90
838	5347.04
839	360.75
840	387.99
841	406.53
842	437.15
843	623.04
844	893.05
845	7596.78
846	7693.93
847	7438.22
848	7166.42
849	5756.25
850	4737.57
851	4059.30
852	3335.41
853	2987.58
854	2957.46
855	3370.31
856	4636.23
857	5394.36
858	5622.15
859	5585.47
860	6122.65
861	5691.99
862	5963.70
863	406.70
864	437.36
865	501.83
866	688.58
867	933.34
868	1183.69
869	7612.02
870	7693.93
871	7496.89
872	7304.16
873	5762.90
874	4630.80
875	3904.91
876	3348.68
877	2955.96
878	2646.79
879	3089.88
880	4713.82
881	5433.59
882	5553.17
883	5587.59
884	6011.30
885	5746.16
886	6107.05
887	404.91
888	426.32
889	498.15
890	723.04
891	1033.22
892	1455.72
893	7654.15
894	7693.93
895	7543.92
896	7353.09
897	5849.86
898	4501.45
899	3810.69
900	3581.62
901	3140.77
902	2677.45
903	3025.40
904	4260.43
905	5147.94
906	5341.72
907	5481.34
908	6184.01
909	5936.92
910	6316.78
911	429.21
912	456.16
913	608.10
914	815.47
915	1097.78
916	1366.31
917	7609.19
918	7693.93
919	7429.96
920	7355.01
921	6586.61
922	5866.35
923	5433.46
924	5279.10
925	4900.96
926	4551.63
927	5043.89
928	6141.67
929	6581.88
930	6448.95
931	6233.96
932	6605.31
933	6253.11
934	6499.34
935	430.27
936	453.19
937	554.66
938	813.94
939	1084.61
940	1347.44
941	7625.05
942	7693.93
943	7477.10
944	7576.87
945	7550.72
946	7450.33
947	7149.21
948	6507.01
949	6085.93
950	5945.06
951	6090.79
952	6335.97
953	6214.92
954	5836.18
955	5619.21
956	6035.76
957	5480.27
958	5669.58
959	339.26
960	357.28
961	372.61
962	379.35
963	395.79
964	468.75
965	7499.90
966	7667.80
967	7209.00
968	6871.49
969	6169.79
970	5810.54
971	5473.13
972	5116.52
973	4790.23
974	4722.72
975	4795.76
976	5083.15
977	5127.63
978	5091.64
979	4824.10
980	5287.80
981	4275.42
982	4034.38
983	235.01
984	252.92
985	263.03
986	269.63
987	281.35
988	296.60
989	7305.69
990	6679.53
991	5732.94
992	5514.29
993	4953.39
994	4563.56
995	4332.97
996	4114.00
997	4260.73
998	4403.22
999	4361.20
1000	4427.57
1001	4361.97
1002	4263.29
1003	4171.42
1004	4656.58
1005	3945.93
1006	4122.42
1007	259.90
1008	278.92
1009	277.72
1010	277.51
1011	279.97
1012	282.88
1013	7172.58
1014	6298.77
1015	5110.41
1016	4835.22
1017	4378.50
1018	3922.42
1019	3613.12
1020	3297.12
1021	3071.42
1022	3045.21
1023	2958.35
1024	3229.56
1025	3631.14
1026	4056.07
1027	4217.78
1028	4804.96
1029	4290.83
1030	4370.65
1031	259.33
1032	257.83
1033	255.48
1034	258.49
1035	269.45
1036	280.69
1037	7141.88
1038	6389.80
1039	5412.46
1040	4935.82
1041	4372.97
1042	3817.43
1043	3368.18
1044	3247.24
1045	3106.60
1046	2682.00
1047	2801.52
1048	3528.16
1049	3809.90
1050	3762.84
1051	3901.89
1052	4677.34
1053	4171.20
1054	4203.54
1055	255.10
1056	274.48
1057	293.09
1058	306.40
1059	310.46
1060	323.14
1061	7400.24
1062	7212.62
1063	6208.20
1064	5160.35
1065	4710.01
1066	4202.25
1067	2955.52
1068	2199.63
1069	1787.60
1070	1600.35
1071	1788.54
1072	2650.87
1073	3468.92
1074	3797.51
1075	3802.18
1076	4411.25
1077	3976.22
1078	4300.95
1079	303.20
1080	336.15
1081	352.24
1082	370.25
1083	383.32
1084	498.87
1085	7530.27
1086	7575.49
1087	7100.77
1088	5573.34
1089	4007.47
1090	2794.81
1091	2298.63
1092	1929.44
1093	1381.31
1094	926.39
1095	814.86
1096	1085.54
1097	1693.80
1098	2191.24
1099	2531.26
1100	3493.42
1101	3204.41
1102	3666.09
1103	252.88
1104	285.57
1105	311.43
1106	334.43
1107	353.13
1108	409.29
1109	7441.10
1110	7264.01
1111	6719.47
1112	4981.11
1113	3149.66
1114	2554.06
1115	2073.31
1116	1699.92
1117	1298.26
1118	904.78
1119	804.54
1120	1025.04
1121	1474.20
1122	1784.80
1123	2044.21
1124	2635.00
1125	2137.50
1126	2550.10
1127	189.26
1128	223.66
1129	249.77
1130	274.98
1131	297.01
1132	319.06
1133	6897.75
1134	6478.77
1135	5479.27
1136	4822.60
1137	4139.52
1138	3887.31
1139	3548.76
1140	3735.89
1141	3820.07
1142	3913.98
1143	4083.87
1144	4376.68
1145	4356.00
1146	4320.88
1147	4146.02
1148	4771.72
1149	4240.79
1150	4514.97
1151	311.10
1152	335.60
1153	354.83
1154	381.49
1155	400.13
1156	576.98
1157	7546.02
1158	7587.05
1159	7161.86
1160	6921.55
1161	5681.75
1162	4658.32
1163	4202.21
1164	4031.69
1165	4552.97
1166	4611.15
1167	4384.16
1168	4529.96
1169	4544.84
1170	4497.36
1171	4358.71
1172	4694.60
1173	4022.03
1174	4211.99
1175	261.71
1176	277.56
1177	281.30
1178	282.04
1179	290.46
1180	297.34
1181	7214.11
1182	6518.91
1183	5400.20
1184	4294.49
1185	3555.33
1186	4105.80
1187	4073.82
1188	3894.78
1189	3994.64
1190	4137.24
1191	4258.99
1192	4370.24
1193	4431.02
1194	4298.61
1195	4248.57
1196	4756.38
1197	4373.50
1198	4734.09
1199	291.09
1200	308.21
1201	318.87
1202	311.85
1203	324.35
1204	343.66
1205	7447.21
1206	7249.47
1207	6138.78
1208	5378.16
1209	4784.54
1210	4233.12
1211	3828.40
1212	3692.01
1213	3520.89
1214	3574.88
1215	4128.78
1216	4440.62
1217	4618.09
1218	4465.72
1219	4139.79
1220	4487.37
1221	3735.91
1222	3880.89
1223	244.70
1224	263.42
1225	286.25
1226	291.01
1227	290.47
1228	305.45
1229	7347.44
1230	6813.66
1231	5568.37
1232	5173.01
1233	5074.00
1234	4635.51
